player_id,first_name,last_name,team name,oppenent team name,total points predicted
381,Frederico,Rodrigues de Paula Santos,Man Utd,Luton,0.635
382,Alejandro,Garnacho,Man Utd,Luton,1.293
383,Hannibal,Mejbri,Man Utd,Luton,0.635
384,Tom,Heaton,Man Utd,Luton,0.506
385,Dean,Henderson,Crystal Palace,Everton,0.506
386,Victor,Lindelöf,Man Utd,Luton,1.295
387,Harry,Maguire,Man Utd,Luton,1.673
388,Kobbie,Mainoo,Man Utd,Luton,0.635
389,Tyrell,Malacia,Man Utd,Luton,1.441
390,Anthony,Martial,Man Utd,Luton,1.377
391,Lisandro,Martínez,Man Utd,Luton,1.441
392,Scott,McTominay,Man Utd,Luton,2.216
393,Teden,Mengi,Luton,Man Utd,0.918
394,Facundo,Pellistri Rebollo,Man Utd,Luton,0.856
395,Raphaël,Varane,Man Utd,Luton,0.706
396,Marcus,Rashford,Man Utd,Luton,2.199
397,Jadon,Sancho,Man Utd,Luton,0.635
398,Luke,Shaw,Man Utd,Luton,1.441
399,Shola,Shoretire,Man Utd,Luton,0.579
400,Donny,van de Beek,Man Utd,Luton,0.616
401,Aaron,Wan-Bissaka,Man Utd,Luton,0.465
402,Miguel,Almirón Rejala,Newcastle,Bournemouth,1.442
403,Elliot,Anderson,Newcastle,Bournemouth,1.447
404,Harrison,Ashby,Newcastle,Bournemouth,1.285
405,Sven,Botman,Newcastle,Bournemouth,1.285
406,Bruno,Guimarães Rodriguez Moura,Newcastle,Bournemouth,1.975
407,Dan,Burn,Newcastle,Bournemouth,1.755
408,Karl,Darlow,Newcastle,Bournemouth,0.445
409,Martin,Dubravka,Newcastle,Bournemouth,0.445
410,Ryan,Fraser,Newcastle,Bournemouth,0.603
411,Mark,Gillespie,Newcastle,Bournemouth,0.445
412,Anthony,Gordon,Newcastle,Bournemouth,1.96
413,Isaac,Hayden,Newcastle,Bournemouth,0.603
414,Jeff,Hendrick,Newcastle,Bournemouth,0.603
415,Alexander,Isak,Newcastle,Bournemouth,1.435
416,Joelinton Cássio,Apolinário de Lira,Newcastle,Bournemouth,1.328
417,Emil,Krafth,Newcastle,Bournemouth,1.285
418,Garang,Kuol,Newcastle,Bournemouth,0.603
419,Jamaal,Lascelles,Newcastle,Bournemouth,2.137
420,Jamal,Lewis,Newcastle,Bournemouth,1.285
421,Sean,Longstaff,Newcastle,Bournemouth,2.163
422,Javier,Manquillo Gaitán,Newcastle,Bournemouth,1.285
423,Jacob,Murphy,Newcastle,Bournemouth,1.192
424,Nick,Pope,Newcastle,Bournemouth,2.248
425,Matt,Ritchie,Newcastle,Bournemouth,0.611
426,Allan,Saint-Maximin,Newcastle,Bournemouth,0.603
427,Fabian,Schär,Newcastle,Bournemouth,2.994
428,Matt,Targett,Newcastle,Bournemouth,1.16
429,Sandro,Tonali,Newcastle,Bournemouth,1.064
430,Kieran,Trippier,Newcastle,Bournemouth,2.328
431,Kell,Watts,Newcastle,Bournemouth,1.285
432,Joe,Willock,Newcastle,Bournemouth,1.416
433,Callum,Wilson,Newcastle,Bournemouth,1.704
434,Brandon,Aguilera Zamora,Nott'm Forest,West Ham,0.372
435,Harry,Arter,Nott'm Forest,West Ham,0.372
436,Serge,Aurier,Nott'm Forest,West Ham,1.082
437,Taiwo,Awoniyi,Nott'm Forest,West Ham,0.746
438,Giulian,Biancone,Nott'm Forest,West Ham,0.364
439,Willy,Boly,Nott'm Forest,West Ham,1.08
440,Josh,Bowler,Nott'm Forest,West Ham,0.372
441,Steve,Cook,Nott'm Forest,West Ham,0.364
442,Danilo,dos Santos de Oliveira,Nott'm Forest,West Ham,0.372
443,Emmanuel,Dennis,Nott'm Forest,West Ham,0.282
444,Mohamed,Dräger,Nott'm Forest,West Ham,0.364
445,Felipe Augusto,de Almeida Monteiro,Nott'm Forest,West Ham,0.364
446,Remo,Freuler,Nott'm Forest,West Ham,0.372
447,Morgan,Gibbs-White,Nott'm Forest,West Ham,1.123
448,Wayne,Hennessey,Nott'm Forest,West Ham,0.263
449,Ethan,Horvath,Nott'm Forest,West Ham,0.263
450,Brennan,Johnson,Spurs,Wolves,1.723
451,Cheikhou,Kouyaté,Nott'm Forest,West Ham,0.806
452,Richie,Laryea,Nott'm Forest,West Ham,0.364
453,Orel,Mangala,Nott'm Forest,West Ham,1.017
454,Loïc,Mbe Soh,Nott'm Forest,West Ham,0.364
455,Scott,McKenna,Nott'm Forest,West Ham,0.364
456,Alex,Mighten,Nott'm Forest,West Ham,0.372
457,Moussa,Niakhaté,Nott'm Forest,West Ham,0.753
458,Lewis,O'Brien,Nott'm Forest,West Ham,0.372
459,Braian,Ojeda Rodríguez,Nott'm Forest,West Ham,0.372
460,Jonathan,Panzo,Nott'm Forest,West Ham,0.364
461,Omar,Richards,Nott'm Forest,West Ham,0.364
462,Gustavo Henrique,Furtado Scarpa,Nott'm Forest,West Ham,0.372
463,Jonjo,Shelvey,Nott'm Forest,West Ham,0.372
464,Sam,Surridge,Nott'm Forest,West Ham,0.282
465,Harry,Toffolo,Nott'm Forest,West Ham,1.035
466,Hwang,Ui-jo,Nott'm Forest,West Ham,0.282
467,Neco,Williams,Nott'm Forest,West Ham,0.623
468,Chris,Wood,Nott'm Forest,West Ham,1.549
469,Joe,Worrall,Nott'm Forest,West Ham,0.612
470,Ryan,Yates,Nott'm Forest,West Ham,0.622
471,Anel,Ahmedhodžić,Sheffield Utd,Brighton,0.79
472,Jordan,Amissah,Sheffield Utd,Brighton,0.263
473,George,Baldock,Sheffield Utd,Brighton,0.692
474,Chris,Basham,Sheffield Utd,Brighton,0.727
475,Sander,Berge,Burnley,Arsenal,1.148
476,Jayden,Bogle,Sheffield Utd,Brighton,1.138
477,Rhian,Brewster,Sheffield Utd,Brighton,0.619
478,Ismaila,Coulibaly,Sheffield Utd,Brighton,0.372
479,Adam,Davies,Sheffield Utd,Brighton,0.263
480,John,Egan,Sheffield Utd,Brighton,0.717
481,John,Fleck,Sheffield Utd,Brighton,0.942
482,Wes,Foderingham,Sheffield Utd,Brighton,1.215
483,Daniel,Jebbison,Sheffield Utd,Brighton,0.282
484,Max,Lowe,Sheffield Utd,Brighton,0.364
