gameWeek,minutes_played_last5,clean_sheets_last5,bps_last5,player_starts_last5,expected_goals_last5,expected_assists_last5,expected_goal_involvements_last5,expected_goals_conceded_last5,total_points_last5,difficulty,is_home_team,player_type_1,player_type_2,player_type_3,player_type_4
7,3.708682081410116,0.0,2.501435951739211,0.1823215567939546,0.10436001532424286,0.060153922819747144,0.1587116911548208,0.4485245975686114,1.4816045409242156,3,1,0,0,1,0
3,1.9459101490553132,0.0,1.5040773967762742,0.0,0.058268908123975824,0.0,0.058268908123975824,0.3852624007906449,0.9162907318741551,3,0,0,0,0,1
8,4.51085950651685,0.0,2.8791984572980396,0.6931471805599453,0.08801087732271337,0.05259245011917063,0.13627761829254775,0.9962103550500283,1.0296194171811581,4,1,0,1,0,0
2,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,2,0,0,1,0,0
3,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,4,1,0,0,1,0
2,4.219507705176107,0.0,4.007333185232471,0.6931471805599453,0.5653138090500605,0.01980262729617973,0.5766133643039938,0.9162907318741551,2.70805020110221,5,0,0,0,0,1
7,4.007333185232471,0.0,2.6100697927420065,0.47000362924573563,0.031498667059371016,0.06578774053800295,0.09531017980432493,0.6216511788548753,1.1631508098056809,4,0,0,0,1,0
10,3.996364153861897,0.3364722366212129,2.3978952727983707,0.47000362924573563,0.10616019582839073,0.16041672140590466,0.2515366258154277,0.7188149273085231,1.3862943611198906,3,1,0,0,1,0
5,4.51085950651685,0.4054651081081644,3.367295829986474,0.6931471805599453,0.0,0.0,0.0,0.9192862408539535,1.9810014688665833,2,1,1,0,0,0
10,3.126760535960395,0.0,2.6390573296152584,0.3364722366212129,0.30010459245033816,0.011928570865273812,0.3089542077273207,0.2608246182818983,1.5686159179138452,2,1,0,0,0,1
3,4.51085950651685,0.4054651081081644,3.068052935133617,0.6931471805599453,0.0,0.004987541511038968,0.004987541511038968,0.7514160886839212,1.791759469228055,2,1,1,0,0,0
9,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,3,0,0,1,0,0
6,4.314817884980432,0.1823215567939546,3.0633909220278057,0.5877866649021191,0.025667746748577813,0.08984070399978954,0.11332868530700327,0.5822156198526637,1.5686159179138452,2,1,0,1,0,0
9,4.51085950651685,0.0,2.8449093838194073,0.6931471805599453,0.01980262729617951,0.011928570865273812,0.031498667059371016,1.2629961447753972,1.4350845252893227,3,1,0,0,1,0
